domain,core_competency,competency,skill
Artificial Intelligence & Machine Learning (AI/ML),AI Engineering & MLOps,Model Operations,On-Device Inference
Artificial Intelligence & Machine Learning (AI/ML),AI Engineering & MLOps,AI Safety & Ethics,Explainable AI
Artificial Intelligence & Machine Learning (AI/ML),AI Engineering & MLOps,AI Safety & Ethics,Bias Detection
Artificial Intelligence & Machine Learning (AI/ML),AI Engineering & MLOps,AI Safety & Ethics,Ethics in AI
Artificial Intelligence & Machine Learning (AI/ML),AI Engineering & MLOps,AI Safety & Ethics,Privacy-Preserving AI
Cloud Architecture & Site Reliability Engineering (SRE),Cloud Infrastructure & DevOps,Cloud Architecture,IaaS
Cloud Architecture & Site Reliability Engineering (SRE),Cloud Infrastructure & DevOps,Cloud Architecture,PaaS
Cloud Architecture & Site Reliability Engineering (SRE),Cloud Infrastructure & DevOps,Cloud Architecture,SaaS
Cloud Architecture & Site Reliability Engineering (SRE),Cloud Infrastructure & DevOps,Cloud Architecture,Hybrid/Multi-Cloud Strategy
Cloud Architecture & Site Reliability Engineering (SRE),Cloud Infrastructure & DevOps,Cloud Architecture,Cloud Migration
Cloud Architecture & Site Reliability Engineering (SRE),Cloud Infrastructure & DevOps,Cloud Architecture,Edge Computing
Cloud Architecture & Site Reliability Engineering (SRE),Cloud Infrastructure & DevOps,Infrastructure Management,Infrastructure as Code (IaC)
Cloud Architecture & Site Reliability Engineering (SRE),Cloud Infrastructure & DevOps,Infrastructure Management,Containerization
Cloud Architecture & Site Reliability Engineering (SRE),Cloud Infrastructure & DevOps,Infrastructure Management,Immutable Infrastructure
Cloud Architecture & Site Reliability Engineering (SRE),Cloud Infrastructure & DevOps,Infrastructure Management,Declarative Configuration
Cloud Architecture & Site Reliability Engineering (SRE),Cloud Infrastructure & DevOps,Delivery Pipelines,Continuous Integration (CI)
Cloud Architecture & Site Reliability Engineering (SRE),Cloud Infrastructure & DevOps,Delivery Pipelines,Continuous Deployment (CD)
Cloud Architecture & Site Reliability Engineering (SRE),Cloud Infrastructure & DevOps,Delivery Pipelines,Artifact & Dependency Management
Cloud Architecture & Site Reliability Engineering (SRE),Site Reliability & Observability,Observability,Distributed Tracing
Cloud Architecture & Site Reliability Engineering (SRE),Site Reliability & Observability,Observability,Log Aggregation/Analysis
Cloud Architecture & Site Reliability Engineering (SRE),Site Reliability & Observability,Observability,Metric Collection
Cloud Architecture & Site Reliability Engineering (SRE),Site Reliability & Observability,Observability,Dashboards
Cloud Architecture & Site Reliability Engineering (SRE),Site Reliability & Observability,Observability,Alerting
Cloud Architecture & Site Reliability Engineering (SRE),Site Reliability & Observability,Reliability Operations,Service Level Management (SLIs/SLOs/SLAs)
Cloud Architecture & Site Reliability Engineering (SRE),Site Reliability & Observability,Reliability Operations,Error Budgets
Cloud Architecture & Site Reliability Engineering (SRE),Site Reliability & Observability,Reliability Operations,Chaos Engineering
Cloud Architecture & Site Reliability Engineering (SRE),Site Reliability & Observability,Reliability Operations,Incident Triage & Retrospectives
Cloud Architecture & Site Reliability Engineering (SRE),Site Reliability & Observability,Traffic Management,Load Balancing
Cloud Architecture & Site Reliability Engineering (SRE),Site Reliability & Observability,Traffic Management,Traffic Shaping
Cloud Architecture & Site Reliability Engineering (SRE),Site Reliability & Observability,Traffic Management,Rate Limiting
Cloud Architecture & Site Reliability Engineering (SRE),Site Reliability & Observability,Traffic Management,Autoscaling Configuration
Cloud Architecture & Site Reliability Engineering (SRE),Network & Systems Administration,Network Engineering,Routing Protocols
Cloud Architecture & Site Reliability Engineering (SRE),Network & Systems Administration,Network Engineering,Subnetting
Cloud Architecture & Site Reliability Engineering (SRE),Network & Systems Administration,Network Engineering,Virtual Private Networking (VPN)
Cloud Architecture & Site Reliability Engineering (SRE),Network & Systems Administration,Network Engineering,Software Defined Networking (SDN)
Cloud Architecture & Site Reliability Engineering (SRE),Network & Systems Administration,Systems Management,Server Administration
Cloud Architecture & Site Reliability Engineering (SRE),Network & Systems Administration,Systems Management,OS Development
Cloud Architecture & Site Reliability Engineering (SRE),Network & Systems Administration,Systems Management,Storage Management/Virtualization
Cloud Architecture & Site Reliability Engineering (SRE),Network & Systems Administration,Systems Management,Kernel/Driver Development
Cybersecurity & Information Security,Defensive Security (Blue Team),Network & Infrastructure Security,Firewall Management
Cybersecurity & Information Security,Defensive Security (Blue Team),Network & Infrastructure Security,Cloud Native Security
Cybersecurity & Information Security,Defensive Security (Blue Team),Network & Infrastructure Security,Intrusion Detection
Cybersecurity & Information Security,Defensive Security (Blue Team),Network & Infrastructure Security,DDoS Mitigation
Cybersecurity & Information Security,Defensive Security (Blue Team),Security Operations,Security Monitoring (SIEM)
Cybersecurity & Information Security,Defensive Security (Blue Team),Security Operations,Incident Response
Cybersecurity & Information Security,Defensive Security (Blue Team),Security Operations,Disaster Recovery
Cybersecurity & Information Security,Defensive Security (Blue Team),Security Operations,Data Loss Prevention (DLP)
Cybersecurity & Information Security,Offensive Security (Red Team),Testing & Exploitation,Penetration Testing
Cybersecurity & Information Security,Offensive Security (Red Team),Testing & Exploitation,Ethical Hacking
Cybersecurity & Information Security,Offensive Security (Red Team),Testing & Exploitation,Exploit Development
Cybersecurity & Information Security,Offensive Security (Red Team),Testing & Exploitation,Vulnerability Scanning/Assessment
Cybersecurity & Information Security,Offensive Security (Red Team),Analysis,Threat Modeling
Cybersecurity & Information Security,Offensive Security (Red Team),Analysis,Malware Analysis & Reverse Engineering
Cybersecurity & Information Security,Offensive Security (Red Team),Analysis,Digital Forensics
Cybersecurity & Information Security,Offensive Security (Red Team),Analysis,Bug Bounty Hunting
Cybersecurity & Information Security,Identity Access & Application Security,Identity Management,Identity Access Management (IAM)
Cybersecurity & Information Security,Identity Access & Application Security,Identity Management,Single Sign-On (SSO)
Cybersecurity & Information Security,Identity Access & Application Security,Identity Management,Multi-Factor Authentication
Cybersecurity & Information Security,Identity Access & Application Security,Identity Management,Role/Attribute-Based Access
Cybersecurity & Information Security,Identity Access & Application Security,AppSec & Cryptography,Secure Coding Practices
Cybersecurity & Information Security,Identity Access & Application Security,AppSec & Cryptography,DevSecOps
Cybersecurity & Information Security,Identity Access & Application Security,AppSec & Cryptography,Secrets Management
Cybersecurity & Information Security,Identity Access & Application Security,AppSec & Cryptography,Encryption/PKI
Cybersecurity & Information Security,Identity Access & Application Security,AppSec & Cryptography,Zero Trust Architecture
Quality Assurance (QA) & Testing,Test Strategy & Automation,Automated Testing,Automation Scripting
Quality Assurance (QA) & Testing,Test Strategy & Automation,Automated Testing,End-to-End Testing
Quality Assurance (QA) & Testing,Test Strategy & Automation,Automated Testing,Integration Testing
Quality Assurance (QA) & Testing,Test Strategy & Automation,Automated Testing,Unit Testing
Quality Assurance (QA) & Testing,Test Strategy & Automation,Manual & Functional Testing,Exploratory Testing
Quality Assurance (QA) & Testing,Test Strategy & Automation,Manual & Functional Testing,Acceptance Testing
Quality Assurance (QA) & Testing,Test Strategy & Automation,Manual & Functional Testing,Smoke/Sanity Testing
Quality Assurance (QA) & Testing,Test Strategy & Automation,Manual & Functional Testing,Regression Testing
Quality Assurance (QA) & Testing,Performance & Reliability Testing,Performance Benchmarking,Load Testing
Quality Assurance (QA) & Testing,Performance & Reliability Testing,Performance Benchmarking,Stress Testing
Quality Assurance (QA) & Testing,Performance & Reliability Testing,Performance Benchmarking,Volume Testing
Quality Assurance (QA) & Testing,Performance & Reliability Testing,Performance Benchmarking,Profiling & Memory Leak Detection
UI/UX Design & User Research,User Experience (UX) & Research,UX Research,Qualitative/Quantitative Research
UI/UX Design & User Research,User Experience (UX) & Research,UX Research,Usability Testing
UI/UX Design & User Research,User Experience (UX) & Research,UX Research,Contextual Inquiry
UI/UX Design & User Research,User Experience (UX) & Research,UX Research,Card Sorting
UI/UX Design & User Research,User Experience (UX) & Research,Information Architecture,User Flows
UI/UX Design & User Research,User Experience (UX) & Research,Information Architecture,Site Maps
UI/UX Design & User Research,User Experience (UX) & Research,Information Architecture,Customer Journey Mapping
UI/UX Design & User Research,User Experience (UX) & Research,Information Architecture,Mental Models
UI/UX Design & User Research,User Experience (UX) & Research,Inclusive Design,Digital Accessibility
UI/UX Design & User Research,User Experience (UX) & Research,Inclusive Design,Inclusive Research
UI/UX Design & User Research,User Experience (UX) & Research,Inclusive Design,Ethical/Privacy by Design
UI/UX Design & User Research,User Interface (UI) & Visual Design,Visual Design,High-Fidelity Mockups
UI/UX Design & User Research,User Interface (UI) & Visual Design,Visual Design,Typography
UI/UX Design & User Research,User Interface (UI) & Visual Design,Visual Design,Color Theory
UI/UX Design & User Research,User Interface (UI) & Visual Design,Visual Design,Visual Hierarchy
UI/UX Design & User Research,User Interface (UI) & Visual Design,Visual Design,Interaction/Motion Design
UI/UX Design & User Research,User Interface (UI) & Visual Design,Design Systems,Atomic Design
UI/UX Design & User Research,User Interface (UI) & Visual Design,Design Systems,Design Guidelines
UI/UX Design & User Research,User Interface (UI) & Visual Design,Design Systems,Design Handoff/Reviews
Agile Delivery & Product Management,Agile Methodologies & Delivery,Agile Frameworks,Scrum Mastery
Agile Delivery & Product Management,Agile Methodologies & Delivery,Agile Frameworks,Kanban Management
Agile Delivery & Product Management,Agile Methodologies & Delivery,Agile Frameworks,Agile at Scale
Agile Delivery & Product Management,Agile Methodologies & Delivery,Agile Frameworks,Continuous Delivery
Agile Delivery & Product Management,Agile Methodologies & Delivery,Agile Ceremonies,Sprint Planning
Agile Delivery & Product Management,Agile Methodologies & Delivery,Agile Ceremonies,Backlog Grooming
Agile Delivery & Product Management,Agile Methodologies & Delivery,Agile Ceremonies,Retrospective Facilitation
Agile Delivery & Product Management,Agile Methodologies & Delivery,Release Management,Feature Flags
Agile Delivery & Product Management,Agile Methodologies & Delivery,Release Management,Canary Releases
Agile Delivery & Product Management,Agile Methodologies & Delivery,Release Management,Blue-Green Deployment
Agile Delivery & Product Management,Agile Methodologies & Delivery,Release Management,Dark Launching
Agile Delivery & Product Management,Product & Project Management,Product Strategy,Product-Market Fit
Agile Delivery & Product Management,Product & Project Management,Product Strategy,Minimum Viable Product (MVP)
Agile Delivery & Product Management,Product & Project Management,Product Strategy,Roadmap Development
Agile Delivery & Product Management,Product & Project Management,Product Strategy,Feature Prioritization
Agile Delivery & Product Management,Product & Project Management,Project Management,Requirements Gathering
Agile Delivery & Product Management,Product & Project Management,Project Management,Stakeholder Management
Agile Delivery & Product Management,Product & Project Management,Project Management,Capacity Planning
Agile Delivery & Product Management,Product & Project Management,Project Management,Cost-Benefit Analysis
Cross-Functional Operations (X-Ops) & Leadership,Business & Technical Operations,Cost & Resource Management,FinOps
Cross-Functional Operations (X-Ops) & Leadership,Business & Technical Operations,Cost & Resource Management,Cloud Spend Management
Cross-Functional Operations (X-Ops) & Leadership,Business & Technical Operations,Cost & Resource Management,Usage Optimization
Cross-Functional Operations (X-Ops) & Leadership,Business & Technical Operations,Cost & Resource Management,Asset Management
Cross-Functional Operations (X-Ops) & Leadership,Business & Technical Operations,Tech-Ops Integration,RevOps
Cross-Functional Operations (X-Ops) & Leadership,Business & Technical Operations,Tech-Ops Integration,MarketingOps
Cross-Functional Operations (X-Ops) & Leadership,Business & Technical Operations,Tech-Ops Integration,DesignOps
Cross-Functional Operations (X-Ops) & Leadership,Business & Technical Operations,Tech-Ops Integration,SecurityOps
Cross-Functional Operations (X-Ops) & Leadership,Business & Technical Operations,Tech-Ops Integration,IT Governance & Compliance Auditing
Cross-Functional Operations (X-Ops) & Leadership,Technical Leadership & Advocacy,Technical Strategy,Enterprise Architecture
Cross-Functional Operations (X-Ops) & Leadership,Technical Leadership & Advocacy,Technical Strategy,Technology Scouting
Cross-Functional Operations (X-Ops) & Leadership,Technical Leadership & Advocacy,Technical Strategy,Vendor Selection
Cross-Functional Operations (X-Ops) & Leadership,Technical Leadership & Advocacy,Technical Strategy,Legacy System Modernization
Cross-Functional Operations (X-Ops) & Leadership,Technical Leadership & Advocacy,Developer Relations & Culture,Developer Advocacy
Cross-Functional Operations (X-Ops) & Leadership,Technical Leadership & Advocacy,Developer Relations & Culture,Internal Community Building
Cross-Functional Operations (X-Ops) & Leadership,Technical Leadership & Advocacy,Developer Relations & Culture,Technical Writing/Documentation
Cross-Functional Operations (X-Ops) & Leadership,Technical Leadership & Advocacy,Developer Relations & Culture,Mentorship & Open Source Contribution
Hardware & Emerging Technologies,Hardware & Embedded Systems,Hardware Engineering,PCB Design
Hardware & Emerging Technologies,Hardware & Embedded Systems,Hardware Engineering,ASIC Design
Hardware & Emerging Technologies,Hardware & Embedded Systems,Hardware Engineering,FPGA Development
Hardware & Emerging Technologies,Hardware & Embedded Systems,Hardware Engineering,Sensors & Actuators
Hardware & Emerging Technologies,Hardware & Embedded Systems,Hardware Engineering,Power/Thermal Management
Hardware & Emerging Technologies,Hardware & Embedded Systems,Connected Systems,IoT Development
Hardware & Emerging Technologies,Hardware & Embedded Systems,Connected Systems,Industrial IoT
Hardware & Emerging Technologies,Hardware & Embedded Systems,Connected Systems,Smart Home Tech
Hardware & Emerging Technologies,Hardware & Embedded Systems,Connected Systems,Robotics Engineering
Hardware & Emerging Technologies,Emerging Tech & Spatial Computing,Spatial & Immersive,Virtual/Augmented/Mixed Reality
Hardware & Emerging Technologies,Emerging Tech & Spatial Computing,Spatial & Immersive,Spatial Computing
Hardware & Emerging Technologies,Emerging Tech & Spatial Computing,Spatial & Immersive,Digital Twins
Hardware & Emerging Technologies,Emerging Tech & Spatial Computing,Advanced Computing,Quantum Computing
Hardware & Emerging Technologies,Emerging Tech & Spatial Computing,Advanced Computing,Blockchain Development
Hardware & Emerging Technologies,Emerging Tech & Spatial Computing,Advanced Computing,Decentralized Finance (DeFi)
Hardware & Emerging Technologies,Emerging Tech & Spatial Computing,Advanced Computing,Secure Multiparty Computation
